sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-41.76115798950195,7
tensor(1),The illness caught the raider.,-47.13887023925781,7
tensor(2),The illness was caught by the raider.,-44.454994201660156,9
tensor(3),The raider was caught by the illness.,-45.37110900878906,9
tensor(4),The marauder contracted the disease.,-38.86069107055664,7
tensor(5),The disease contracted the marauder.,-46.643287658691406,7
tensor(6),The disease was contracted by the marauder.,-41.47889709472656,9
tensor(7),The marauder was contracted by the disease.,-48.819149017333984,9
tensor(8),The convict dreaded the prison.,-40.35324478149414,6
tensor(9),The prison dreaded the convict.,-40.62903594970703,6
tensor(10),The prison was dreaded by the convict.,-42.858009338378906,8
tensor(11),The convict was dreaded by the prison.,-45.408267974853516,8
tensor(12),The criminal feared the jail.,-43.91925811767578,6
tensor(13),The jail feared the criminal.,-45.77908706665039,6
tensor(14),The jail was feared by the criminal.,-48.805442810058594,8
tensor(15),The criminal was feared by the jail.,-48.06752395629883,8
tensor(16),The prostitute squandered the cash.,-39.35810470581055,8
tensor(17),The cash squandered the prostitute.,-51.50995635986328,8
tensor(18),The cash was squandered by the prostitute.,-45.267974853515625,10
tensor(19),The prostitute was squandered by the cash.,-51.71027374267578,10
tensor(20),The call girl wasted the money.,-41.99639892578125,7
tensor(21),The money wasted the call girl.,-47.00625991821289,7
tensor(22),The money was wasted by the call girl.,-43.95669174194336,9
tensor(23),The call girl was wasted by the money.,-49.2855224609375,9
tensor(24),The adventurer requested the beverage.,-42.18679428100586,6
tensor(25),The beverage requested the adventurer.,-47.07966613769531,6
tensor(26),The beverage was requested by the adventurer.,-43.03504943847656,8
tensor(27),The adventurer was requested by the beverage.,-51.239803314208984,8
tensor(28),The undertaker prepared the funeral.,-35.521331787109375,7
tensor(29),The funeral prepared the undertaker.,-38.19611740112305,7
tensor(30),The funeral was prepared by the undertaker.,-36.04624938964844,9
tensor(31),The undertaker was prepared by the funeral.,-46.53722381591797,9
tensor(32),The mortician arranged the burial.,-37.904075622558594,7
tensor(33),The burial arranged the mortician.,-49.260772705078125,7
tensor(34),The burial was arranged by the mortician.,-39.09931182861328,9
tensor(35),The mortician was arranged by the burial.,-49.11484146118164,9
tensor(36),The supervisor supplied the liquor.,-39.66901397705078,6
tensor(37),The liquor supplied the supervisor.,-47.76991653442383,6
tensor(38),The liquor was supplied by the supervisor.,-41.29258728027344,8
tensor(39),The supervisor was supplied by the liquor.,-50.370845794677734,8
tensor(40),The overseer provided the alcohol.,-39.515281677246094,7
tensor(41),The alcohol provided the overseer.,-44.219024658203125,7
tensor(42),The alcohol was provided by the overseer.,-40.47981262207031,9
tensor(43),The overseer was provided by the alcohol.,-49.87407684326172,9
tensor(44),The troublemaker crashed the car.,-36.976985931396484,7
tensor(45),The car crashed the troublemaker.,-40.63197326660156,7
tensor(46),The car was crashed by the troublemaker.,-38.778404235839844,9
tensor(47),The troublemaker was crashed by the car.,-45.84639358520508,9
tensor(48),The hooligan wrecked the vehicle.,-39.34624481201172,8
tensor(49),The vehicle wrecked the hooligan.,-47.22935104370117,8
tensor(50),The vehicle was wrecked by the hooligan.,-38.64255142211914,10
tensor(51),The hooligan was wrecked by the vehicle.,-43.610015869140625,10
tensor(52),The repairman fixed the tap.,-35.931739807128906,7
tensor(53),The tap fixed the repairman.,-42.444091796875,7
tensor(54),The tap was fixed by the repairman.,-41.19919204711914,9
tensor(55),The repairman was fixed by the tap.,-46.77053451538086,9
tensor(56),The handyman repaired the faucet.,-40.26774215698242,9
tensor(57),The faucet repaired the handyman.,-48.48802185058594,9
tensor(58),The faucet was repaired by the handyman.,-41.87908935546875,11
tensor(59),The handyman was repaired by the faucet.,-49.96937561035156,11
tensor(60),The secretary organized the desk.,-43.062347412109375,6
tensor(61),The desk organized the secretary.,-41.75385665893555,6
tensor(62),The desk was organized by the secretary.,-37.29170227050781,8
tensor(63),The secretary was organized by the desk.,-46.8183708190918,8
tensor(64),The receptionist tidied the table.,-35.242061614990234,8
tensor(65),The table tidied the receptionist.,-48.90740966796875,8
tensor(66),The table was tidied by the receptionist.,-39.7154655456543,10
tensor(67),The receptionist was tidied by the table.,-50.35982894897461,10
tensor(68),The pilot steered the airplane.,-33.254554748535156,6
