sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-41.82980728149414,7
tensor(1),The illness caught the raider.,-45.82918167114258,7
tensor(2),The illness was caught by the raider.,-44.919708251953125,9
tensor(3),The raider was caught by the illness.,-45.94404602050781,9
tensor(4),The marauder contracted the disease.,-39.206111907958984,7
tensor(5),The disease contracted the marauder.,-46.0180549621582,7
tensor(6),The disease was contracted by the marauder.,-41.9270133972168,9
tensor(7),The marauder was contracted by the disease.,-45.46803283691406,9
tensor(8),The convict dreaded the prison.,-35.29658126831055,6
tensor(9),The prison dreaded the convict.,-40.166378021240234,6
tensor(10),The prison was dreaded by the convict.,-42.52174377441406,8
tensor(11),The convict was dreaded by the prison.,-44.49178695678711,8
tensor(12),The criminal feared the jail.,-43.3652458190918,6
tensor(13),The jail feared the criminal.,-43.20370101928711,6
tensor(14),The jail was feared by the criminal.,-47.410125732421875,8
tensor(15),The criminal was feared by the jail.,-46.642784118652344,8
tensor(16),The prostitute squandered the cash.,-40.44864273071289,8
tensor(17),The cash squandered the prostitute.,-45.2767333984375,8
tensor(18),The cash was squandered by the prostitute.,-41.5247802734375,10
tensor(19),The prostitute was squandered by the cash.,-47.748111724853516,10
tensor(20),The call girl wasted the money.,-39.33457946777344,7
tensor(21),The money wasted the call girl.,-49.18006134033203,7
tensor(22),The money was wasted by the call girl.,-41.16886901855469,9
tensor(23),The call girl was wasted by the money.,-46.64369201660156,9
tensor(24),The adventurer requested the beverage.,-40.32603073120117,6
tensor(25),The beverage requested the adventurer.,-46.890899658203125,6
tensor(26),The beverage was requested by the adventurer.,-43.917537689208984,8
tensor(27),The adventurer was requested by the beverage.,-47.95003128051758,8
tensor(28),The undertaker prepared the funeral.,-34.316001892089844,7
tensor(29),The funeral prepared the undertaker.,-43.763938903808594,7
tensor(30),The funeral was prepared by the undertaker.,-37.00747299194336,9
tensor(31),The undertaker was prepared by the funeral.,-44.797096252441406,9
tensor(32),The mortician arranged the burial.,-35.993202209472656,7
tensor(33),The burial arranged the mortician.,-48.88307571411133,7
tensor(34),The burial was arranged by the mortician.,-40.69715881347656,9
tensor(35),The mortician was arranged by the burial.,-49.13478469848633,9
tensor(36),The supervisor supplied the liquor.,-38.053253173828125,6
