sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-49.146331787109375,8
tensor(1),The illness caught the raider.,-48.33708572387695,8
tensor(2),The illness was caught by the raider.,-50.914093017578125,10
tensor(3),The raider was caught by the illness.,-52.60115432739258,10
tensor(4),The marauder contracted the disease.,-47.12985610961914,8
tensor(5),The disease contracted the marauder.,-51.705162048339844,8
tensor(6),The disease was contracted by the marauder.,-47.17510223388672,10
tensor(7),The marauder was contracted by the disease.,-54.63308334350586,10
tensor(8),The convict dreaded the prison.,-45.73755645751953,7
tensor(9),The prison dreaded the convict.,-49.0885009765625,7
tensor(10),The prison was dreaded by the convict.,-49.878578186035156,9
tensor(11),The convict was dreaded by the prison.,-51.77557373046875,9
tensor(12),The criminal feared the jail.,-48.48151397705078,7
tensor(13),The jail feared the criminal.,-49.967323303222656,7
tensor(14),The jail was feared by the criminal.,-53.28089904785156,9
tensor(15),The criminal was feared by the jail.,-52.4531135559082,9
tensor(16),The prostitute squandered the cash.,-45.49155044555664,9
tensor(17),The cash squandered the prostitute.,-52.872596740722656,9
tensor(18),The cash was squandered by the prostitute.,-48.424034118652344,11
tensor(19),The prostitute was squandered by the cash.,-55.65055847167969,11
tensor(20),The call girl wasted the money.,-42.7486457824707,8
tensor(21),The money wasted the call girl.,-50.28675079345703,8
tensor(22),The money was wasted by the call girl.,-48.72175979614258,10
tensor(23),The call girl was wasted by the money.,-51.19263458251953,10
tensor(24),The adventurer requested the beverage.,-51.53926467895508,7
tensor(25),The beverage requested the adventurer.,-54.76812744140625,7
tensor(26),The beverage was requested by the adventurer.,-51.06266784667969,9
tensor(27),The adventurer was requested by the beverage.,-56.2872200012207,9
tensor(28),The undertaker prepared the funeral.,-45.44487762451172,8
tensor(29),The funeral prepared the undertaker.,-49.88001251220703,8
tensor(30),The funeral was prepared by the undertaker.,-47.25082015991211,10
tensor(31),The undertaker was prepared by the funeral.,-51.710899353027344,10
tensor(32),The mortician arranged the burial.,-41.470211029052734,8
tensor(33),The burial arranged the mortician.,-52.78995132446289,8
tensor(34),The burial was arranged by the mortician.,-44.00703811645508,10
tensor(35),The mortician was arranged by the burial.,-51.31513595581055,10
tensor(36),The supervisor supplied the liquor.,-44.726287841796875,7
tensor(37),The liquor supplied the supervisor.,-51.58295822143555,7
tensor(38),The liquor was supplied by the supervisor.,-46.106773376464844,9
tensor(39),The supervisor was supplied by the liquor.,-52.927791595458984,9
tensor(40),The overseer provided the alcohol.,-45.30973815917969,8
tensor(41),The alcohol provided the overseer.,-48.547237396240234,8
tensor(42),The alcohol was provided by the overseer.,-44.95098876953125,10
tensor(43),The overseer was provided by the alcohol.,-51.250579833984375,10
tensor(44),The troublemaker crashed the car.,-42.680572509765625,8
tensor(45),The car crashed the troublemaker.,-45.49982452392578,8
tensor(46),The car was crashed by the troublemaker.,-47.32720947265625,10
tensor(47),The troublemaker was crashed by the car.,-51.48539352416992,10
tensor(48),The hooligan wrecked the vehicle.,-46.347503662109375,9
tensor(49),The vehicle wrecked the hooligan.,-53.18669128417969,9
tensor(50),The vehicle was wrecked by the hooligan.,-46.28683090209961,11
tensor(51),The hooligan was wrecked by the vehicle.,-50.67121887207031,11
tensor(52),The repairman fixed the tap.,-43.08232879638672,8
tensor(53),The tap fixed the repairman.,-49.92584228515625,8
tensor(54),The tap was fixed by the repairman.,-49.79350280761719,10
tensor(55),The repairman was fixed by the tap.,-53.71052932739258,10
tensor(56),The handyman repaired the faucet.,-42.07160186767578,10
tensor(57),The faucet repaired the handyman.,-49.90751266479492,10
tensor(58),The faucet was repaired by the handyman.,-46.76307678222656,12
tensor(59),The handyman was repaired by the faucet.,-55.21312713623047,12
tensor(60),The secretary organized the desk.,-47.10720443725586,7
tensor(61),The desk organized the secretary.,-48.56407165527344,7
tensor(62),The desk was organized by the secretary.,-47.11201095581055,9
tensor(63),The secretary was organized by the desk.,-50.04547119140625,9
tensor(64),The receptionist tidied the table.,-42.27458190917969,9
tensor(65),The table tidied the receptionist.,-53.38154220581055,9
tensor(66),The table was tidied by the receptionist.,-49.01122283935547,11
tensor(67),The receptionist was tidied by the table.,-55.226741790771484,11
tensor(68),The pilot steered the airplane.,-39.37590789794922,7
tensor(69),The airplane steered the pilot.,-45.39177703857422,7
tensor(70),The airplane was steered by the pilot.,-41.91383743286133,9
tensor(71),The pilot was steered by the airplane.,-44.641605377197266,9
tensor(72),The aviator maneuvered the jet.,-52.48244094848633,9
tensor(73),The jet maneuvered the aviator.,-52.96265411376953,9
tensor(74),The jet was maneuvered by the aviator.,-51.913063049316406,11
tensor(75),The aviator was maneuvered by the jet.,-55.181339263916016,11
tensor(76),The chef sauteed the squid.,-42.2144660949707,9
tensor(77),The squid sauteed the chef.,-49.864994049072266,9
tensor(78),The squid was sauteed by the chef.,-49.72858428955078,11
tensor(79),The chef was sauteed by the squid.,-53.099544525146484,11
tensor(80),The cook grilled the octopus.,-44.00246810913086,8
tensor(81),The octopus grilled the cook.,-48.51815414428711,8
tensor(82),The octopus was grilled by the cook.,-47.601131439208984,10
tensor(83),The cook was grilled by the octopus.,-48.370094299316406,10
tensor(84),The ship captain promised the triumph.,-51.479793548583984,8
tensor(85),The triumph promised the ship captain.,-53.55708312988281,8
tensor(86),The triumph was promised by the ship captain.,-54.06500244140625,10
tensor(87),The ship captain was promised by the triumph.,-59.5082893371582,10
tensor(88),The skipper guaranteed the victory.,-44.108604431152344,8
tensor(89),The victory guaranteed the skipper.,-46.108394622802734,8
tensor(90),The victory was guaranteed by the skipper.,-45.812965393066406,10
tensor(91),The skipper was guaranteed by the victory.,-53.48405075073242,10
tensor(92),The milliner adorned the fedora.,-54.26165008544922,9
tensor(93),The fedora adorned the milliner.,-48.03297424316406,9
