sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-30.407806396484375,9
tensor(1),The illness caught the raider.,-33.49757099151611,9
tensor(2),The illness was caught by the raider.,-32.439701080322266,11
tensor(3),The raider was caught by the illness.,-36.78874397277832,11
tensor(4),The marauder contracted the disease.,-24.946328163146973,11
tensor(5),The disease contracted the marauder.,-37.55293083190918,11
tensor(6),The disease was contracted by the marauder.,-33.90797281265259,13
tensor(7),The marauder was contracted by the disease.,-42.00381851196289,13
tensor(8),The convict dreaded the prison.,-32.148935317993164,9
tensor(9),The prison dreaded the convict.,-33.875797748565674,9
tensor(10),The prison was dreaded by the convict.,-34.9486198425293,11
tensor(11),The convict was dreaded by the prison.,-42.98837375640869,11
tensor(12),The criminal feared the jail.,-31.693466186523438,8
tensor(13),The jail feared the criminal.,-28.742470741271973,8
tensor(14),The jail was feared by the criminal.,-30.60873508453369,10
tensor(15),The criminal was feared by the jail.,-32.98029899597168,10
tensor(16),The prostitute squandered the cash.,-38.89089298248291,10
tensor(17),The cash squandered the prostitute.,-48.772216796875,10
tensor(18),The cash was squandered by the prostitute.,-32.945366859436035,12
tensor(19),The prostitute was squandered by the cash.,-39.83108377456665,12
tensor(20),The call girl wasted the money.,-30.950809001922607,9
tensor(21),The money wasted the call girl.,-42.67140340805054,9
tensor(22),The money was wasted by the call girl.,-28.246549606323242,11
tensor(23),The call girl was wasted by the money.,-40.61546182632446,11
tensor(24),The adventurer requested the beverage.,-31.868979454040527,9
tensor(25),The beverage requested the adventurer.,-37.8827600479126,9
tensor(26),The beverage was requested by the adventurer.,-30.9661865234375,11
tensor(27),The adventurer was requested by the beverage.,-42.314900398254395,11
tensor(28),The undertaker prepared the funeral.,-24.71717882156372,9
tensor(29),The funeral prepared the undertaker.,-34.814781188964844,9
tensor(30),The funeral was prepared by the undertaker.,-27.574973106384277,11
tensor(31),The undertaker was prepared by the funeral.,-38.556978702545166,11
tensor(32),The mortician arranged the burial.,-36.44157028198242,11
tensor(33),The burial arranged the mortician.,-50.29785966873169,11
tensor(34),The burial was arranged by the mortician.,-34.57060241699219,13
tensor(35),The mortician was arranged by the burial.,-51.16725826263428,13
tensor(36),The supervisor supplied the liquor.,-23.60907220840454,8
tensor(37),The liquor supplied the supervisor.,-29.83595371246338,8
tensor(38),The liquor was supplied by the supervisor.,-24.376073837280273,10
tensor(39),The supervisor was supplied by the liquor.,-39.24387741088867,10
tensor(40),The overseer provided the alcohol.,-27.622278690338135,9
tensor(41),The alcohol provided the overseer.,-35.80213260650635,9
tensor(42),The alcohol was provided by the overseer.,-25.20823574066162,11
